date,bound,rate
20200129,lower_bound,1.5
20200129,upper_bound,1.75
20200303,lower_bound,1.0
20200303,upper_bound,1.25
20200315,lower_bound,0.0
20200315,upper_bound,0.25
20200323,lower_bound,0.0
20200323,upper_bound,0.25
20200429,lower_bound,0.0
20200429,upper_bound,0.25
20200610,lower_bound,0.0
20200610,upper_bound,0.25
20200729,lower_bound,0.0
20200729,upper_bound,0.25
20200916,lower_bound,0.0
20200916,upper_bound,0.25
20201105,lower_bound,0.0
20201105,upper_bound,0.25
20201216,lower_bound,0.0
20201216,upper_bound,0.25
20190130,lower_bound,2.25
20190130,upper_bound,2.5
20190320,lower_bound,2.25
20190320,upper_bound,2.5
20190501,lower_bound,2.25
20190501,upper_bound,2.5
20190619,lower_bound,2.25
20190619,upper_bound,2.5
20190731,lower_bound,2.0
20190731,upper_bound,2.25
20190918,lower_bound,1.75
20190918,upper_bound,2.0
20191011,lower_bound,1.75
20191011,upper_bound,2.0
20191030,lower_bound,1.5
20191030,upper_bound,1.75
20191211,lower_bound,1.5
20191211,upper_bound,1.75
20180131,lower_bound,1.25
20180131,upper_bound,1.5
20180321,lower_bound,1.5
20180321,upper_bound,1.75
20180502,lower_bound,1.5
20180502,upper_bound,1.75
20180613,lower_bound,1.75
20180613,upper_bound,2.0
20180801,lower_bound,1.75
20180801,upper_bound,2.0
20180926,lower_bound,2.0
20180926,upper_bound,2.25
20181108,lower_bound,2.0
20181108,upper_bound,2.25
20181219,lower_bound,2.25
20181219,upper_bound,2.5
20170201,lower_bound,0.5
20170201,upper_bound,0.75
20170315,lower_bound,0.75
20170315,upper_bound,1.0
20170503,lower_bound,0.75
20170503,upper_bound,1.0
20170614,lower_bound,1.0
20170614,upper_bound,1.25
20170726,lower_bound,1.0
20170726,upper_bound,1.25
20170920,lower_bound,1.0
20170920,upper_bound,1.25
20171101,lower_bound,1.0
20171101,upper_bound,1.25
20171213,lower_bound,1.25
20171213,upper_bound,1.5
20160127,lower_bound,0.25
20160127,upper_bound,0.5
20160316,lower_bound,0.25
20160316,upper_bound,0.5
20160427,lower_bound,0.25
20160427,upper_bound,0.5
20160615,lower_bound,0.25
20160615,upper_bound,0.5
20160727,lower_bound,0.25
20160727,upper_bound,0.5
20160921,lower_bound,0.25
20160921,upper_bound,0.5
20161102,lower_bound,0.25
20161102,upper_bound,0.5
20161214,lower_bound,0.5
20161214,upper_bound,0.75
20150128,lower_bound,0.0
20150128,upper_bound,0.25
20150318,lower_bound,0.0
20150318,upper_bound,0.25
20150429,lower_bound,0.0
20150429,upper_bound,0.25
20150617,lower_bound,0.0
20150617,upper_bound,0.25
20150729,lower_bound,0.0
20150729,upper_bound,0.25
20150917,lower_bound,0.0
20150917,upper_bound,0.25
20151028,lower_bound,0.0
20151028,upper_bound,0.25
20151216,lower_bound,0.25
20151216,upper_bound,0.5
20140129,lower_bound,0.0
20140129,upper_bound,0.25
20140319,lower_bound,0.0
20140319,upper_bound,0.25
20140430,lower_bound,0.0
20140430,upper_bound,0.25
20140618,lower_bound,0.0
20140618,upper_bound,0.25
20140730,lower_bound,0.0
20140730,upper_bound,0.25
20140917,lower_bound,0.0
20140917,upper_bound,0.25
20141029,lower_bound,0.0
20141029,upper_bound,0.25
20141217,lower_bound,0.0
20141217,upper_bound,0.25
20130130,lower_bound,0.0
20130130,upper_bound,0.25
20130320,lower_bound,0.0
20130320,upper_bound,0.25
20130501,lower_bound,0.0
20130501,upper_bound,0.25
20130619,lower_bound,0.0
20130619,upper_bound,0.25
20130731,lower_bound,0.0
20130731,upper_bound,0.25
20130918,lower_bound,0.0
20130918,upper_bound,0.25
20131030,lower_bound,0.0
20131030,upper_bound,0.25
20131218,lower_bound,0.0
20131218,upper_bound,0.25
20120125,lower_bound,0.0
20120125,upper_bound,0.25
20120313,lower_bound,0.0
20120313,upper_bound,0.25
20120425,lower_bound,0.0
20120425,upper_bound,0.25
20120620,lower_bound,0.0
20120620,upper_bound,0.25
20120801,lower_bound,0.0
20120801,upper_bound,0.25
20120913,lower_bound,0.0
20120913,upper_bound,0.25
20121024,lower_bound,0.0
20121024,upper_bound,0.25
20121212,lower_bound,0.0
20121212,upper_bound,0.25
20110126,lower_bound,0.0
20110126,upper_bound,0.25
20110315,lower_bound,0.0
20110315,upper_bound,0.25
20110427,lower_bound,0.0
20110427,upper_bound,0.25
20110622,lower_bound,0.0
20110622,upper_bound,0.25
20110809,lower_bound,0.0
20110809,upper_bound,0.25
20110921,lower_bound,0.0
20110921,upper_bound,0.25
20111102,lower_bound,0.0
20111102,upper_bound,0.25
20111213,lower_bound,0.0
20111213,upper_bound,0.25
20100127,lower_bound,0.0
20100127,upper_bound,0.25
20100316,lower_bound,0.0
20100316,upper_bound,0.25
20100428,lower_bound,0.0
20100428,upper_bound,0.25
20100623,lower_bound,0.0
20100623,upper_bound,0.25
20100810,lower_bound,0.0
20100810,upper_bound,0.25
20100921,lower_bound,0.0
20100921,upper_bound,0.25
20101103,lower_bound,0.0
20101103,upper_bound,0.25
20101214,lower_bound,0.0
20101214,upper_bound,0.25
